Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,"Material of playground floor (rubber, grass, dirt, sand, concrete, wood chip/mulch, asphalt) ",Water play,Sand pit,Toddler Playground,Pre-schooler Playground (2-5) ,School aged Playground (5-12),Picnic table,BBQ,Snugabug Pick,Photos
Hillview Park,Adrian Way & Ocala Ave,San Jose,CA,95122,408 793 5510,,,,,N,Y,,,Y,,,,,,Y,N,Y,Y,,
Rochambeau Playground,,San Francisco,CA,94121,,http://www.sfparksalliance.org/our-parks/parks/rochambeau-playground,"Located in the Richmond District, Rochambeau Playground has a well-kept recreation area that offers two full basketball courts, a tennis court, four-square court, hopscotch blacktops, and a dual-level playground with great climbing structures and sand area. One playground is designed for younger tots and one for older children. There are restrooms at the recreation center and plenty of benches and picnic tables to rest at. The gate closes at 6:00 pm.",,,N,Y,,N,Y,N,"rubber, sand",N,Y,Y,Y,Y,N,N,,Y
Christensen Park,Cypress Point Dr. & Pasatiempo St.,Livermore,CA,94551,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,N,N,,
Burgess Park,701 Laurel St,Menlo Park,CA,94025,650 330 2200,,,,,,,,,,,,,,,,,,,,Y
Houge Park,White Oaks Ave & Twilight Dr,San Jose,CA,95124,408 559 1221,,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,Y
Cambridge Park,1135 Lacey Ln,Concord,CA,94520,925 671 3329,,,,,N,Y,,,Y,N,"mulch, rubber",N,N,Y,Y,N,N,N,,
Joseph Gomes Park,Winchester Blvd & Alice Blvd,Campbell,CA,95008,,,,,,,,,,,,,,,,,,,,,
Laurie Meadows Park,111 Laurie Meadows Dr,San Mateo,CA,94497,,,,,,N,Y,,,Y,N,"sand, rubber",N,Y,Y,Y,Y,Y,Y,,
Meadow Square,Yates Way & Wayne Way,San Mateo,CA,94403,,,,,,N,Y,N,,Y,N,mulch,N,N,N,Y,N,Y,N,,Y
Ocean View Park,900 Buchanan St,Berkeley,CA,94706,,,,,,Y,Y,,,Y,Y,mulch,N,N,Y,Y,N,Y,Y,,
Frank Fischer Park,5155 Deep Creek Rd,Fremont,CA,94555,,,,,,,,,,,,,,,,,,,,,
Grover Cleveland Park,861 O'Donnell Ave,San Leandro,CA,94577,,https://sanleandro.org/depts/rec/parks/cleveland.asp,,,,Y,N,,N,Y,N,mulch,N,N,Y,Y,Y,N,N,,Y
Las Palmas Park,850 Russet Dr,Sunnyvale,CA,94087,408 730 7751,,,,,Y,Y,,,Y,Y,mulch,N,Y,Y,Y,Y,Y,Y,Y,Y
Coyote Crossing Park,3495 Rosincress Dr,San Ramon,CA,94583,925 973 3200,,,,,Y,Y,,Y,Y,N,mulch,N,N,N,Y,Y,Y,N,,
Paddock Park,Baze Rd & Derby Ave,San Mateo,CA,94403,650 627 0,,,,,N,Y,Y,,Y,Y,rubber,N,Y,Y,Y,Y,Y,N,,Y
Creekside Park,5665 W. Las Positas,Pleasanton,CA,94588,,http://ptownlife.org/play/parks/creekside-park,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Crestview Park,1000 Crestview Dr,San Carlos,CA,94070,,,,,,Y,N,,,Y,N,"rubber, sand",N,Y,Y,Y,Y,N,N,,
Rossi Playground,Arguello Blvd & Anza St,San Francisco,CA,94118,415 666 7014,http://www.sfparksalliance.org/our-parks/parks/rossi-angelo-j-playground,"Rossi Playground has two baseball fields and a large grass area, three tennis courts, a full basketball court, an indoor pool, and a play area for children. There are two sections of the playground: one is for older kids and one is for younger tots.",,,,,,,,,,,,,,,,,,Y
Ortega Park,636 Harrow Way,Sunnyvale,CA,94085,,,,,,Y,Y,Y,,Y,Y,mulch,Y,Y,Y,Y,Y,Y,Y,Y,Y
Murphy Park,1588 Saratoga Dr,Milpitas,CA,95035,,,,,,Y,Y,,,Y,,,,,,,,Y,Y,,
Hayward Rotary Playground,Corner of Mission Blvd & D St,Hayward,CA,94541,,,,,,Y,N,,,Y,Y,rubber,N,N,Y,Y,Y,N,N,,
Fremont Central Park,40000 Paseo Padre Pkwy,Fremont,CA,94538,,,,,,Y,Y,,Y,Y,N,rubber,N,Y,Y,Y,Y,Y,,,
Fremont Skate Park,40000 Paseo Padre Pkwy,Fremont,CA,94538,510 790 5546,,,,,,,,,,,,,,,,,,,,
Saint Mary's Playground,Murray St & Justin Dr,San Francisco,CA,94112,,http://www.sfparksalliance.org/our-parks/parks/saint-marys-square,"St. Mary's Square is great place to visit if you're downtown. Any green space in this area is very valuable to the locals! This place is really gorgeous though. There are lots of trees and bushes, plenty of benches to relax on after a ton of walking, and a play structure if you have kids! There are restrooms available too.",,,N,N,,,Y,N,"rubber, sand",N,Y,Y,Y,N,N,N,,Y
Dover Park,800-826 E Travis Blvd,Fairfield,CA,94533,,,,,,,,,,,,,,,,,,,,,
Dracena Quarry Park,130 Dracena Ave,Piedmont,CA,94611,,,,,,N,Y,,Y,Y,N,"sand, rubber",N,Y,Y,Y,Y,N,N,,
Sellick Park,Appian Way,South San Francisco,CA,94080,,,,,,,,,,,,,,,,,,,,,
Eagle Park,652 Franklin St,Mountain View,CA,94041,,,,,,Y,N,,,Y,N,"rubber, sand",N,Y,N,N,Y,Y,N,,Y
John Mise Park,Mitty Way & Moorpark Ave,San Jose,CA,95129,,,,,,N,Y,,,Y,N,mulch,N,,,Y,Y,Y,Y,,
Johnson Park,Waverley St. & Hawthorne Ave.,Palo Alto,CA,94301,,,,,,N,N,,,Y,Y,"sand, rubber",N,Y,Y,N,Y,Y,N,,Y
El Quito Park,12855 Paseo Presada,Saratoga,CA,95070,,,,,,N,Y,Y,N,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,Y
Esplanade Beach,Esplanade Ave and W Beaumont Blvd,Pacifica,CA,94044,,,,,,,,,,,,,,,,,,,,,
Gomes Park,Lemos Ln & Chiltern Dr.,Fremont,CA,94539,,,,,,N,N,,Y,Y,N,sand,N,Y,Y,Y,Y,N,N,,
Mape Memorial Park,11711 Mape Way,Dublin,CA,94568,,http://www.dublin.ca.gov/Facilities/Facility/Details/8,,,,N,Y,,,Y,N,mulch,N,N,Y,Y,N,Y,N,,Y
Shakespeare Garden,Nancy Pelosi Dr & Martin Luther King Jr Dr,San Francisco,CA,94121,415 831 2700,,,,,,,,,,,,,,,,,,,,
Fire Truck Park,2070 Arlington Way,San Ramon,CA,94583,,,,,,N,N,,N,Y,N,mulch,N,Y,N,Y,Y,Y,N,,
J.A. Lewis Park,Hayward Blvd & Plumas Ct,Hayward,CA,94543,,,,,,N,Y,,,Y,N,mulch,N,Y,N,Y,Y,N,N,,
Kirk Park,1601 Foxworthy Ave,San Jose,CA,95118,408 723 1571,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
Halcyon Park,1245 147th Ave,San Leandro,CA,94578,510 577 3462,https://sanleandro.org/depts/rec/parks/halcyon.asp,This neighborhood park is almost 5 acres and is located at 1245 147th Avenue. A concrete volleyball court and tot lot are also available for use.,,,Y,Y,,,Y,Y,mulch,N,N,Y,Y,Y,Y,N,,Y
Memorial Park,10185 N Stelling Rd,Cupertino,CA,95015,,,,,,Y,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,Y,Y
Rincon Valley Community Park,Badger Rd & Rincon Meadows Ct,Santa Rosa,CA,95409,,http://ci.santa-rosa.ca.us/departments/recreationandparks/parks/cityparks/listofparks/Pages/RinconValleyPark.aspx,,,,Y,Y,,Y,Y,N,sand,N,N,Y,Y,Y,Y,Y,,
Fremont Park,1303 Fremont St,Santa Clara,CA,95052,408 615 2200,,,,,Y,N,,Y,Y,N,"rubber, sand",N,Y,Y,Y,Y,Y,Y,,Y
Friendly Pony Parties & Barnyard Pals,12391 San Mateo Rd,Half Moon Bay,CA,94019,650 738 248,,,,,,,,,,,,,,,,,,,,
Frog Park,5500 Claremont Ave,Oakland,CA,94618,,,,,,N,N,,,Y,N,dirt,Y,N,Y,Y,Y,N,N,,
Frontierland Park,900 Yosemite Drive,Pacifica,CA,94044,650 738 7381,http://www.cityofpacifica.org/depts/rec_department/parksbeaches/beach_and_park_info_and_rules/frontierland.asp,"Frontierland Park is nestled up against the hills of Pacifica with lots of open space and picnic, BBQ, horseshoes and playground amenities. We have one large-group picnic area that can be reserved. Call 650-738-7381 for availability or to make a reservation. We also have several individual picnic tables which are first come, first serve. In the reservable large-group picnic area, we have 10 picnic tables, which seat about 6 to 8 people each. This area also has a counter prep area behind the 2 BBQ pits.",,,Y,Y,,,Y,N,mulch,Y,N,Y,Y,Y,Y,,,
Fuller Park,Jefferson St & Oak St,Napa,CA,94558,707 257 9529,,,,,N,Y,,Y,Y,Y,"rubber, sand",N,Y,Y,Y,Y,Y,Y,,
Gary Falati Neighborhood Park,5100 Falati Ln,Fairfield,CA,94533,,,,,,,,,,,,,,,,,,,,,
Gehringer Park,1790 Lynwood Dr,Concord,CA,94519,925 680 9726,,,,,Y,N,,,Y,N,mulch,N,N,N,N,Y,Y,N,,
Ohlone Park,1701 Hearst Avenue,Berkeley,CA,94703,,,,,,N,N,,,Y,N,sand,N,Y,Y,Y,N,Y,,,
Edendale Park,16335 E 14th St,San Leandro,CA,94580,,,,,,Y,Y,,N,Y,N,rubber,N,N,Y,Y,Y,N,N,,
Half Moon Bay State Beach,95 Kelly Ave,Half Moon Bay,CA,94019,650 726 8819,,,,,,,,,,,,,,,,,,,,
Parkside Aquatic Park,Seal St.,San Mateo,CA,94403,,,,,,Y,Y,,,Y,N,"sand, rubber",Y,Y,Y,Y,N,Y,Y,,
Hawes Field,Oak Ave & Hudson St,Redwood City,CA,94061,650 780 7317,,,,,,,,,,,,,,,,,,,,Y
Hawkins Park,367-371 Summerfield Dr,Vacaville,CA,95687,,,,,,,,,,,,,,,,,,,,,
Henry Cowell Redwoods State Park,101 N Big Trees Park Rd,Felton,CA,95018,,,,,,,,,,,,,,,,,,,,,
Heritage Oaks Park,1305 Mckenzie Avenue,Los Altos,CA,94024,,,,,,Y,Y,,N,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,Y
Juana Briones Park,Maybell Ave & Clemo Ave,Palo Alto,CA,94309,,,,,,N,N,,,Y,N,"mulch, sand",N,Y,Y,Y,Y,Y,N,,Y
O'Toole Elms Park,700 South Abel St,Milpitas,CA,95035,,,,,,N,N,,,Y,,,,,,,,Y,Y,,
Highlands Park,2600 Melendy,San Carlos,CA,94070,,,,,,Y,N,,,Y,N,mulch,N,Y,Y,Y,N,Y,N,,
Hillcrest Park,2086-2098 Olivera Rd,Concord,CA,94520,,,,,,Y,Y,,,Y,N,rubber,Y,N,N,Y,Y,Y,N,,
Lincoln Glen Park,Radio Ave & Curtner Ave,San Jose,CA,95125,,,,,,Y,Y,,,Y,Y,rubber,Y,Y,Y,Y,Y,Y,N,Y,Y
Holbrook Palmer Park,150 Watkins Ave,Atherton,CA,94027,650 688 6534,,,,,,,,,,,,,,,,,,,,Y
Homeridge Park,Stevenson St & Barto St.,Santa Clara,CA,95052,408 615 2200,,,,,,,,,,,,,,,,,,,,Y
Mitchell Park,600 E Meadow Dr,Palo Alto,CA,94309,650 463 4900,,,,,Y,Y,,,Y,N,"mulch, sand",Y,Y,Y,Y,Y,Y,Y,,Y
Hagemann Park,Hummingbird Lane & Turnstone Dr.,Livermore,CA,94551,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Jefferson Square Park,618 Jefferson St,Oakland,CA,,,,,,,,,,,,,,,,,,,,,,
Jenny Strand Park,200 Howard Dr,Santa Clara,CA,95051,408 615 2200,,,,,,,,,,,,,,,,,,,,Y
Sigmund Stern Grove,Sloat Blvd & 19th Ave,San Francisco,CA,94132,415 252 6252,http://www.sfparksalliance.org/our-parks/parks/sigmond-stern-grove-including-stern-grove-annex,"Stern Grove is the host of the annual Stern Grove Festival. Every Sunday every summer, a music festival is held in the Stern Grove outdoor amphitheater. ",,,,,,,,,,,,,,,,,,Y
John L Carter Memorial Park,Stone Pine Rd,Half Moon Bay,CA,94019,,,,,,,,,,,,,,,,,,,,,
South Beach Playground,2nd St. & King St.,San Francisco,CA,94107,,http://www.sfparksalliance.org/our-parks/parks/south-beach-park,"Privately built by the South Beach Marina Association, South Beach Park is a lovely location on the waterfront for families and locals. There is a nice little playground for tiny tots with a small sand area and climbing structure appropriate for their ages.
There is also lots of grass for kids to run around in.
There are benches here to sit down and relax, and this spot is a nice walk to AT&T Park or the Ferry Building.",,,N,N,,Y,Y,Y,rubber,N,Y,Y,Y,N,N,N,,Y
Monta Vista Park,Voss Ave and S Foothill Blvd,Cupertino,CA,95014,408 777 3120,,,,,N,Y,,N,Y,N,mulch,N,N,N,Y,Y,N,N,,
Peter D Gill Memorial Park,Paseo Refugio & Bereesford Park,Milpitas,CA,95035,,,,,,Y,Y,,,Y,,,,,,,,Y,Y,,
South Park,64 S Park St,San Francisco,CA,94107,,http://www.sfparksalliance.org/our-parks/parks/south-park,"This park is in the heart of the SOMA neighborhood. It has a small playground with recent improvements. It also has a sand pit and some unique climbing structures. There are plenty of paths and picnic tables to enjoy and appreciate your surroundings. This park is well-kept and has a ton of beautiful trees and bushes that surround the park.
Dogs are welcome too! There is plenty of space for your pup to run around and play fetch!
After a nice afternoon at South Park, head over to one of the cafes or restaurants around the perimeter!",,,N,N,,N,Y,Y,dirt,N,Y,Y,Y,N,Y,N,,Y
South Sunset Playground,40th Ave & Vicente St,San Francisco,CA,94116,415 753 7037,http://www.sfparksalliance.org/our-parks/parks/south-sunset-playground,"South Sunset Playground has been recently renovated. It sports a brand new artificial turf field designed to hold two baseball diamonds and three U-10 soccer fields. There are two basketball courts, a tennis court, and a multi-use court. The playground has very bright colors. There is a clubhouse and restrooms available.",,,,,,,,,,,,,,,,,,Y
Irvington Community Park,Blacow Rd. & Greenpark Dr.,Fremont,CA,94538,,,,,,Y,Y,,,Y,N,Rubber,N,N,Y,Y,Y,Y,,,
Meadows Park,Bluefield Dr and Edelweiss Dr,San Jose,CA,95136,408 793 5510,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
Murdock Park,Wunderlich Drive and Castle Glen Avenue,San Jose,CA,95106,,,,,,N,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Lafayette Square Park,635 11th St,Oakland,CA,,510 238 7275,,,,,,,,,,,,,,,,,,,,
Lake Temescal,6500 Broadway,Oakland,CA,,888 327 2757,,,,,,,,,,,,,,,,,,,,
Lakeshore Park,Lake Blvd at Parkshore Dr,Newark,CA,94560,,,,,,,,,,,,,,,,,,,,,
Ponderosa Park,811 Henderson Ave,Sunnyvale,CA,94085,,,,,,,,,,,,,,,,,,,,,
Larry J Marsalli Park,Lafayette and El Camino Real,Santa Clara,CA,95050,,,,,,Y,Y,,N,Y,N,"rubber, sand",N,Y,N,Y,Y,Y,Y,,Y
Raynor Park,1565 Quail Ave,Sunnyvale,CA,94087,,,,,,,,,,,,,,,,,,,,,
Laureola Park,515 Old County Rd,San Carlos,CA,94070,,,,,,Y,Y,,Y,Y,Y,rubber,Y,N,Y,Y,Y,Y,Y,,
Leona Canyon,Campus Dr off Keller Ave,Oakland,CA,,888 327 2757,,,,,,,,,,,,,,,,,,,,
Spreckels Lake Golden Gate Park,Spreckels Dr at 36th Ave,San Francisco,CA,94121,,,,,,,,,,,,,,,,,,,,,
Godfrey Park,281 Beach Road,Alameda,CA,94502,,http://alamedaca.gov/recreation/godfrey-park,,,,N,Y,,,Y,N,mulch,N,N,N,Y,Y,N,N,,Y
Lick Mill Park,4750 Lick Mill Blvd,Santa Clara,CA,,,,,,,,,,,,,,,,,,,,,,Y
Limerick Park,2833 Bethany Rd.,San Ramon,CA,94506,,,,,,N,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Krusi Park,Otis Dr & Mound St,Alameda,CA,94501,,http://alamedaca.gov/recreation/krusi-park,,,,N,Y,,Y,Y,Y,"mulch, sand",N,Y,Y,Y,Y,Y,Y,,Y
Portal Park,10299 N Portal Ave,Cupertino,CA,95014,,,,,,N,Y,,,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,Y
Lions Park,1st & 3rd,San Bruno,CA,94066,,,,,,Y,Y,,N,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Loch Lomond Recreational Area,100 Loch Lomond Way,Felton,CA,95018,831 335 7424,,,,,,,,,,,,,,,,,,,,
Karl Nordvik Park,6029 Commerce Dr,Fremont,CA,94555,,,,,,Y,Y,,,Y,N,rubber,N,N,N,Y,N,N,N,,
Lone Tree Creek Park,500 Starlight Way,Fremont,CA,94539,,,,,,,,,,,,,,,,,,,,,
Los Cerritos Community Park,3377 Alder Ave,Fremont,CA,94536,510 791 4351,,,,,,,,,,,,,,,,,,,,
Madison Park,8th St and Madison St,Oakland,CA,,,,,,,,,,,,,,,,,,,,,,
Mankas Park,2800 Owens St,Fairfield,CA,94534,,,,,,,,,,,,,,,,,,,,,
Jack Williams Park,2041 Neptune Rd,Livermore,CA,94550,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
Livermore Downs Park,Livermore Downs Park,Livermore,CA,94551,,,,,,Y,N,,Y,Y,N,mulch,N,Y,Y,Y,Y,N,N,,
Maxwell Farms Regional Park,100 Verano Ave ,Sonoma,CA,95476,,,,,,,,,,,,,,,,,,,,,
Maywood Park,3330 Pruneridge Ave,Santa Clara,CA,95052,408 615 3140,,,,,,,,,,,,,,,,,,,,Y
Starr King Open Space,1215 Carolina St,San Francisco,CA,94107,,,,,,,,,,,,,,,,,,,,,
McKenzie Park,707 Fremont Avenue,Los Altos,CA,94024,,,,,,Y,Y,,N,Y,N,mulch,N,N,Y,Y,Y,Y,Y,Y,Y
Lucchesi Park,320 N McDowell Blvd,Petaluma,CA,94954,,,,,,,,,,,,,,,,,,,,,
Somerset Park,10798 Stokes Ave,Cupertino,CA,95014,408 777 3120,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
Mezes Park,300-398 Howland St,Redwood City,CA,94063,,,,,,N,Y,,,Y,N,mulch,N,N,Y,Y,N,Y,N,,Y
Mission San Francisco Solano,114 E Spain St,Sonoma,CA,95476,707 938 9560,,,,,,,,,,,,,,,,,,,,
Monta Loma Park,Thompson Ave and Laura Ln,Mountain View,CA,94043,650 903 6326,,,,,,,,,,,,,,,,,,,,Y
Mosswood Park,3612 Webster St,Oakland,CA,,510 597 5038,,,,,,,,,,,,,,,,,,,,
Sue Bierman Park,Clay St & Drumm St,San Francisco,CA,94105,,,,,,N,N,,,Y,Y,rubber,N,N,Y,Y,Y,N,N,,
Muirwood Community Park,Muirwood Dr. & Highland Oaks Dr.,Pleasanton,CA,94588,,http://ptownlife.org/play/parks/muirwood-community-park,,,,N,Y,,Y,Y,N,mulch,N,N,Y,Y,N,Y,N,,Y
Nealon Park,800 Middle Ave,Menlo Park,CA,94025,650 330 2200,,,,,,,,,,,,,,,,,,,,Y
New Brighton State Beach,1500 Park Ave,Capitola,CA,95010,831 464 6330,,,,,,,,,,,,,,,,,,,,
Newark Community Park,35501 Cedar Blvd,Newark,CA,94560,510 578 4000,,,,,Y,Y,,,Y,N,mulch,Y,Y,Y,Y,Y,,,,
Newhall Community Park,1351 Newhall Pkwy,Concord,CA,94521,925 671 3000,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,N,Y,N,,
Lowry Park,33100 Great Salt Lake Dr,Fremont,CA,94555,,,,,,,,,,,,,,,,,,,,,
Remillard Park,80 Poppy Ln,Berkeley,CA,94708,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Remillard_Park.aspx,,,,N,N,,,Y,N,,N,N,N,Y,Y,Y,N,,Y
Old Alvarado Park,3871 Smith St,Union City,CA,94587,510 670 7275,,,,,,,,,,,,,,,,,,,,
Meyer Park and Swimming Pool,38220 Glenmoor Dr,Fremont,CA,94536,510 791 9830,,,,,,,,,,,,,,,,,,,,
Sunnyside Playground,Foerster St & Melrose Ave,San Francisco,CA,94127,415 337 4720,http://www.sfparksalliance.org/our-parks/parks/sunnyside-playground-recreation-center,"Sunnyside Playground was renovated in 2007 and now offers kids and families a much-improved park and recreation center. There is a colorful play structure, a large sand area with fountain, and a fun merry go-round. There is also a tennis and basketball court, a large grass area for playing catch or frisbee, and dogs are welcome too! There are plenty of picnic tables and restrooms available on-site!",,,N,Y,,,Y,Y,rubber,N,Y,Y,Y,Y,N,N,,Y
Marina Park,14001 Monarch Bay Dr,San Leandro,CA,94577,,https://sanleandro.org/depts/rec/parks/marina.asp,"Located off Monarch Bay Drive near Fairway Drive, this 30-acre regional park that borders the beautiful San Leandro Shoreline. Amenities include picnic areas with barbecue grills, play apparatus, three newly renovated large group picnic areas, a large grassy area and a mile-long par course.",,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
McCartney Park,Sunnyside Dr. & Breed Ave.,San Leandro,CA,94577,,https://sanleandro.org/depts/rec/parks/mccartney.asp,"This small, one-acre park is located on Breed Avenue at Sunnyside Drive. The park has two backstops for playing baseball or softball, a barbecue pit and a picnic table. There is a fenced tot lot, which is shared by Washington School for use during recess and physical education classes.",,,N,N,,N,Y,Y,mulch,N,N,Y,Y,Y,Y,Y,,Y
Palm Park,1443 Hudson St,Redwood City,CA,94061,,,,,,,,,,,,,,,,,,,,,Y
Paul Moore Park,Hillsdale Ave & Cherry Ave,San Jose,CA,95118,,,,,,N,Y,Y,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Pinewood Park,298 Lonetree Ct,Milpitas,CA,95035,,,,,,N,Y,,,Y,,,,,,,,Y,Y,,
Playground Fantastico,2449 Old Sonoma Rd,Napa,CA,94558,707 257 9529,,,,,Y,N,,Y,Y,N,mulch,N,Y,Y,Y,N,Y,,,
Rainbow Park,Johnson and Rainbow,San Jose,CA,95129,,,,,,N,Y,,,Y,N,"mulch, rubber",Y,Y,Y,Y,Y,Y,Y,,Y
Pleasanton Ridge Regional Park,9895 Foothill Rd,Sunol,CA,94586,925 862 2963,,,,,,,,,,,,,,,,,,,,
Pleasanton Tennis and Community Park,5801 Valley Blvd,Pleasanton,CA,94566,925 931 3449,http://ptownlife.org/play/parks/tennis-community-park,,,,Y,Y,,Y,Y,N,mulch,Y,N,Y,Y,Y,,,,Y
Sydney G. Walton Square,"Front & Davis, Pacific & Jackson Streets",San Francisco,CA,94111,,,,,,,,,,,,,,,,,,,,,
Serra Park,739 The Dalles Ave,Sunnyvale,CA,94087,408 730 7751,,,,,Y,,,,Y,Y,"sand, mulch, rubber",Y,Y,Y,Y,Y,Y,Y,,Y
Mission San Jose Park,St Anthondy Dr. & St Phillip Ct.,Fremont,CA,94539,,,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,N,Y,N,,
River Glen Park,1600 Parkside Ave,San Jose,CA,95125,408 793 5510,,,,,N,Y,,,Y,Y,mulch,N,Y,Y,Y,Y,Y,Y,Y,Y
Ramona Park,6330 Murdock Way,San Ramon,CA,94582,,,,,,N,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Maitland R. Henry Park,1525 Mendocino Rd,Livermore,CA,94551,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,N,Y,Y,,
Seven Seas Park,1010 Morse Ave,Sunnyvale,CA,94089,,,,,,Y,Y,Y,,Y,Y,rubber,Y,Y,Y,Y,Y,Y,Y,Y,Y
Red Morton Community Park,1120 Roosevelt Ave,Redwood City,CA,94061,,,,,,,,,,,,,,,,,,,,,Y
San Pablo Park,Russell St & Park St,Berkeley,CA,94702,510 981 6640,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__San_Pablo_Park.aspx,,,,N,Y,,,Y,N,Sand,N,Y,Y,Y,N,Y,Y,,Y
Rex Manor Park,Farley Street & Central Expressway,Mountain View,CA,94043,650 903 6326,,,,,,,,,,,,,,,,,,,,Y
Peers Park,Park Blvd & Leland Ave,Palo Alto,CA,94306,,,,,,N,N,,,Y,N,sand,N,Y,N,Y,Y,Y,,,Y
River Oaks Park,Cres Village Cir & River Oaks Pkwy,San Jose,CA,95134,,,,,,N,Y,,,Y,N,rubber,N,N,Y,Y,N,Y,,,
Niles Community Park,37697 3rd St,Fremont,CA,94536,510 494 4300,,,,,,,,,,,,,,,,,,,,
Marlin Pound Park,2010 Bluebell Dr,Livermore,CA,94551,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Robert Sibley Volcanic Regional Preserve,6800 Skyline Blvd,Oakland,CA,94611,888 327 2757,,,,,,,,,,,,,,,,,,,,
Rockville Hills Regional Park,Rockville Rd and Oakwood Dr,Fairfield,CA,94533,707 428 7400,,,,,,,,,,,,,,,,,,,,
Veterans Memorial Recreation Center,251 City Park Way,San Bruno,CA,94066,650 616 7058,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
San Bruno City Park,251 City Park Way,San Bruno,CA,94066,,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Sanborn County Park,16055 Sanborn Rd,Saratoga,CA,95070,,,,,,,,,,,,,,,,,,,,,
Rubino Park,Desmet Dr & Brunetti Dr.,San Jose,CA,95125,,,,,,N,N,,,Y,Y,mulch,N,N,Y,Y,Y,Y,Y,,Y
Sausal Creek,3860 Hanly Rd,Oakland,CA,94602,,,,,,,,,,,,,,,,,,,,,
SeaCliff Mini Park,161-177 Seacliff Dr E,Aptos,CA,95003,,,,,,,,,,,,,,,,,,,,,
Seacliff State Beach,201 State Park Dr,Aptos,CA,95001,831 685 6442,,,,,,,,,,,,,,,,,,,,
Seascape Park,Summer Ave & Via Lantana,Aptos,CA,95003,,,,,,,,,,,,,,,,,,,,,
Semeria Park,Semeria Ave & Casa Bona Ave,Belmont,CA,94002,650 595 7442,http://www.belmont.gov/Home/Components/FacilityDirectory/FacilityDirectory/70/702,,,,N,N,,,Y,N,rubber,N,N,Y,Y,N,Y,N,,Y
Kennedy Park,Hesperian Blvd & Golf Course Rd.,Hayward,CA,94541,,,,,,Y,Y,,,Y,N,mulch,N,N,N,Y,Y,Y,,Y,Y
Six Pillars Park,12219 Windemere Pkwy,San Ramon,CA,94582,,,,,,N,Y,,,Y,N,mulch,N,N,N,N,Y,Y,N,,
Skypark,361 Kings Village Rd,Scotts Valley,CA,95066,,,,,,,,,,,,,,,,,,,,,
Sonoma Overlook Trail,First St W and Mountain Overlook Trl,Sonoma,CA,95476,,,,,,,,,,,,,,,,,,,,,
Sonoma Plaza,453 1st St E,Sonoma,CA,95476,,,,,,N,Y,,Y,Y,N,sand,N,Y,Y,Y,Y,,,,
Sonoma Plaza Park,453 1st St E,Sonoma,CA,95476,707 933 2218,,,,,N,Y,,Y,Y,N,sand,N,Y,Y,Y,Y,,,,
Sonoma Valley Museum of Art,551 Broadway,Sonoma,CA,95476,707 939 7862,,,,,,,,,,,,,,,,,,,,
The Presidio Landmark,1801 Wedemeyer St,San Francisco,CA,94129,415 561 5300,,,,,,,,,,,,,,,,,,,,
Meek Park,240 Hampton Rd,Hayward,CA,94541,510 581 223,,,,,Y,Y,,,Y,N,mulch,N,N,N,Y,Y,Y,,,
Souyen Park,1548 Watermill Rd,San Ramon,CA,94582,,,,,,Y,Y,,N,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Stafford Lake County Park,3549 Novato Blvd,Novato,CA,94947,,,,,,,,,,,,,,,,,,,,,
